movie_id,name,cleaned_genre,year,summary
1,Toy Story ,"Animation,Children's,Comedy",1995,"Toy Story is a groundbreaking animated film that brings toys to life, delivering heartwarming humor and adventure as Woody and Buzz navigate the world of childhood imagination."
2,Jumanji ,"Adventure,Children's,Fantasy",1995,"""Jumanji (1995) is a thrilling adventure film where a magical board game unleashes chaos and danger into the real world."""
3,Grumpier Old Men ,"Comedy,Romance",1995,"""Grumpier Old Men is a hilarious and heartwarming comedy that reunites Jack Lemmon and Walter Matthau for more misadventures in their small town."""
4,Waiting to Exhale ,"Comedy,Drama",1995,"""Waiting to Exhale"" (1995) is a heartfelt drama following the lives of four African-American women as they navigate love, friendship, and self-discovery."
5,Father of the Bride Part II ,Comedy,1995,Father of the Bride Part II (1995) is a heartwarming comedy that follows George Banks as he navigates the chaos of planning his daughter's wedding while also becoming a grandfather.
6,Heat ,"Action,Crime,Thriller",1995,"Heat (1995) is a gripping crime thriller directed by Michael Mann, featuring an intense cat-and-mouse game between a master thief and a determined detective."
7,Sabrina ,"Comedy,Romance",1995,"Sabrina (1995) is a charming romantic comedy about a chauffeur's daughter who falls in love with two wealthy brothers, leading to a delightful tale of love and self-discovery."
8,Tom and Huck ,"Adventure,Children's",1995,"""Tom and Huck is a charming adventure film based on Mark Twain's classic characters, filled with friendship, mischief, and thrilling escapades."""
9,Sudden Death ,Action,1995,"""Sudden Death"" is a thrilling action film from 1995, starring Jean-Claude Van Damme as a firefighter who must save his daughter from terrorists during a hockey game."
10,GoldenEye ,"Action,Adventure,Thriller",1995,GoldenEye (1995) is a thrilling James Bond film that revitalizes the franchise with Pierce Brosnan's charismatic performance and explosive action sequences.
11,"American President, The ","Comedy,Drama,Romance",1995,"""The American President is a charming romantic comedy-drama that follows the love story between a widowed president and an environmental lobbyist."""
12,Dracula: Dead and Loving It ,"Comedy,Horror",1995,"A comedic take on the classic vampire tale, ""Dracula: Dead and Loving It"" is a hilarious spoof that will leave you laughing."
13,Balto ,"Animation,Children's",1995,"Balto is an inspiring animated adventure film based on a true story, following a heroic half-wolf dog who leads a sled team to deliver medicine during a deadly epidemic."
14,Nixon ,Drama,1995,"""Nixon"" is a gripping political drama directed by Oliver Stone, exploring the rise and fall of President Richard Nixon with an exceptional performance by Anthony Hopkins."
15,Cutthroat Island ,"Action,Adventure,Romance",1995,"""Cutthroat Island is a swashbuckling adventure film filled with action, treasure hunts, and pirate battles, but falls short in terms of storytelling and character development."""
16,Casino ,"Drama,Thriller",1995,"""Casino"" is a gripping crime drama directed by Martin Scorsese, exploring the dark underbelly of Las Vegas through the eyes of a casino executive and his mob connections."
17,Sense and Sensibility ,"Drama,Romance",1995,"Sense and Sensibility (1995) is a beautifully crafted period drama that explores the complexities of love, family, and societal expectations with exquisite performances and stunning cinematography."
18,Four Rooms ,Thriller,1995,"""Four Rooms is a quirky anthology film that follows a bellboy's misadventures in four different hotel rooms, filled with bizarre and comedic encounters."""
19,Ace Ventura: When Nature Calls ,Comedy,1995,Ace Ventura: When Nature Calls is a hilarious and zany comedy sequel where Jim Carrey's eccentric detective embarks on a wild adventure to rescue a sacred animal.
20,Money Train ,Action,1995,"""Money Train"" is a thrilling action-comedy film about two New York City transit cops who plan to rob the subway train that collects millions of dollars in fares."
21,Get Shorty ,"Action,Comedy,Drama",1995,"""Get Shorty"" is a witty crime-comedy film about a mobster turned Hollywood producer, blending humor and suspense with stellar performances from its cast."
22,Copycat ,"Crime,Drama,Thriller",1995,"""Copycat (1995) is a gripping psychological thriller about a serial killer who targets a renowned criminal psychologist, testing her sanity and survival skills."""
23,Assassins ,Thriller,1995,"Assassins (1995) is a thrilling action film about two rival hitmen, played by Sylvester Stallone and Antonio Banderas, who find themselves in a deadly game of cat and mouse."
24,Powder ,"Drama,Sci-Fi",1995,"""Powder (1995) is a thought-provoking drama about an extraordinary young man with supernatural abilities who challenges societal norms and explores the meaning of humanity."""
25,Leaving Las Vegas ,"Drama,Romance",1995,"""Leaving Las Vegas (1995) is a haunting and raw portrayal of self-destruction as an alcoholic screenwriter finds solace in a prostitute while spiraling into oblivion."""
26,Othello ,Drama,1995,"""Othello (1995) is a gripping adaptation of Shakespeare's tragedy, exploring themes of jealousy and manipulation with powerful performances by Laurence Fishburne and Kenneth Branagh."""
27,Now and Then ,Drama,1995,"""Now and Then"" is a heartwarming coming-of-age film that follows four childhood friends as they reminisce about their adventures and navigate the challenges of growing up."
28,Persuasion ,Romance,1995,"""Persuasion (1995) is a captivating adaptation of Jane Austen's novel, exploring love, regret, and second chances with a beautifully restrained performance by Amanda Root."""
29,"City of Lost Children, The ","Adventure,Sci-Fi",1995,City of Lost Children (1995) is a visually stunning and darkly imaginative French film that explores the power of dreams and the blurred lines between reality and fantasy.
30,Shanghai Triad (Yao a yao yao dao waipo qiao) ,Drama,1995,"""Shanghai Triad is a gripping crime drama set in 1930s Shanghai, exploring the dark underworld of gangsters and their treacherous alliances."""
31,Dangerous Minds ,Drama,1995,Dangerous Minds is a compelling drama that follows an inspiring teacher as she transforms the lives of troubled inner-city students.
32,Twelve Monkeys ,"Drama,Sci-Fi",1995,"""Twelve Monkeys is a mind-bending sci-fi thriller where a time traveler from a post-apocalyptic future tries to prevent a deadly virus outbreak in the past."""
33,Wings of Courage ,"Adventure,Romance",1995,"""Wings of Courage (1995) is a visually stunning IMAX film that tells the true story of aviation pioneers and their daring adventures in the early days of flight."""
34,Babe ,"Children's,Comedy,Drama",1995,"""Babe is a heartwarming family film about a pig who defies expectations and becomes a sheep-herding champion."""
35,Carrington ,"Drama,Romance",1995,"""Carrington"" is a poignant and unconventional love story set in 1920s England, exploring the complex relationship between artist Dora Carrington and writer Lytton Strachey."
36,Dead Man Walking ,Drama,1995,"""Dead Man Walking"" (1995) is a powerful and thought-provoking drama that explores the complexities of capital punishment through the eyes of a nun counseling a death row inmate."
37,Across the Sea of Time ,Documentary,1995,Across the Sea of Time (1995) is a visually stunning IMAX film that follows a young Russian boy's journey to find his long-lost relatives in America.
38,It Takes Two ,Comedy,1995,"""It Takes Two"" is a heartwarming 1995 comedy about two identical girls who switch lives to bring their mismatched guardians together."
39,Clueless ,"Comedy,Romance",1995,"""Clueless (1995) is a hilarious and iconic teen comedy that follows the fashionable and witty Cher as she navigates high school life and love in Beverly Hills."""
40,"Cry, the Beloved Country ",Drama,1995,"""Cry, the Beloved Country"" (1995) is a poignant and powerful drama set in apartheid-era South Africa, exploring racial tensions and the search for justice and reconciliation."
41,Richard III ,"Drama,War",1995,"Richard III (1995) is a gripping adaptation of Shakespeare's play, featuring Ian McKellen's mesmerizing performance as the power-hungry and manipulative Richard."
42,Dead Presidents ,"Action,Crime,Drama",1995,"""Dead Presidents is a gritty and intense crime drama set in the 1960s, following a Vietnam War veteran's descent into criminal activities."""
43,Restoration ,Drama,1995,Restoration (1995) is a visually stunning period drama that follows the rise and fall of a talented but flawed physician in 17th century England.
44,Mortal Kombat ,"Action,Adventure",1995,"""Mortal Kombat (1995) is a cheesy yet entertaining adaptation of the popular video game, filled with over-the-top action and iconic characters."""
45,To Die For ,"Comedy,Drama",1995,To Die For (1995) is a darkly comedic thriller about a manipulative woman who will stop at nothing to become a famous television personality.
46,How to Make an American Quilt ,"Drama,Romance",1995,"How to Make an American Quilt (1995) is a heartwarming drama about love, friendship, and the power of storytelling, woven together through the creation of a beautiful quilt."
47,Seven (Se7en) ,"Crime,Thriller",1995,"""Seven (Se7en) is a dark and gripping crime thriller that follows two detectives as they hunt down a serial killer who uses the seven deadly sins as his motive."""
48,Pocahontas ,"Animation,Children's,Musical,Romance",1995,"""Pocahontas"" (1995) is a visually stunning Disney animated film that tells a fictionalized tale of love and understanding between a Native American princess and an English explorer."
49,When Night Is Falling ,"Drama,Romance",1995,When Night Is Falling (1995) is a sensual and thought-provoking drama about a woman's journey of self-discovery through an unexpected same-sex romance.
50,"Usual Suspects, The ","Crime,Thriller",1995,"A gripping crime thriller that follows a group of criminals who are brought together for a heist, only to be caught up in a web of deception and mystery."
51,Guardian Angel ,"Action,Drama,Thriller",1994,"""Guardian Angel (1994) is a heartwarming drama about a troubled teenager who finds redemption and guidance through an unlikely friendship with a mysterious guardian angel."""
52,Mighty Aphrodite ,Comedy,1995,"""Mighty Aphrodite"" is a charming and witty romantic comedy directed by Woody Allen, exploring the complexities of love and relationships with a touch of Greek mythology."
53,Lamerica ,Drama,1994,"""Lamerica (1994) is a powerful Italian drama that explores the harsh realities of post-communist Albania through the journey of two con men."""
54,"Big Green, The ","Children's,Comedy",1995,"""Big Green, The (1995) is a heartwarming family sports comedy about a group of misfit kids who form a soccer team and defy all odds to win the championship."""
55,Georgia ,Drama,1995,"""Georgia (1995) is a raw and emotionally charged drama that explores the complex relationship between two talented sisters in the world of music."""
56,Kids of the Round Table ,"Adventure,Children's,Fantasy",1995,"""Kids of the Round Table (1995) is a family adventure film that follows a group of children who embark on a magical quest to save King Arthur and Camelot."""
57,Home for the Holidays ,Drama,1995,"""Home for the Holidays"" is a heartwarming and hilarious Thanksgiving comedy that explores family dynamics and the chaos that ensues when everyone comes together under one roof."
58,"Postino, Il (The Postman) ","Drama,Romance",1994,"Il Postino is a heartwarming Italian film about a shy postman who befriends the famous poet Pablo Neruda, leading to unexpected personal and political transformations."
59,"Confessional, The (Le Confessionnal) ","Drama,Mystery",1995,"Confessional (Le Confessionnal) is a thought-provoking Canadian drama that explores themes of guilt, redemption, and the power of confession within a small Quebec town."
60,"Indian in the Cupboard, The ","Adventure,Children's,Fantasy",1995,Indian in the Cupboard is a heartwarming fantasy film about a young boy who discovers a magical cupboard that brings his toys to life.
61,Eye for an Eye ,"Drama,Thriller",1996,Eye for an Eye (1996) is a gripping thriller that follows a mother's relentless pursuit of justice after her daughter is brutally assaulted.
62,Mr. Holland's Opus ,Drama,1995,"""Mr. Holland's Opus is a heartwarming drama about a passionate music teacher who inspires generations of students through his love for music."""
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood ,Comedy,1996,"""Don't Be a Menace to South Central While Drinking Your Juice in the Hood"" is a hilarious parody of '90s hood movies, filled with clever jokes and cultural references."
64,Two if by Sea ,"Comedy,Romance",1996,"""Two if by Sea"" is a 1996 romantic comedy about a couple who attempt to steal a valuable painting while dealing with relationship issues."
65,Bio-Dome ,Comedy,1996,"""Bio-Dome is a mindless comedy about two dim-witted slackers who accidentally get trapped inside an eco-dome and wreak havoc on the environment."""
66,Lawnmower Man 2: Beyond Cyberspace ,"Sci-Fi,Thriller",1996,"Lawnmower Man 2: Beyond Cyberspace (1996) is a disappointing sequel that fails to capture the charm and excitement of its predecessor, with a weak plot and lackluster performances."
67,Two Bits ,Drama,1995,"""Two Bits"" is a heartwarming coming-of-age drama set in 1930s Philadelphia, following a young boy's quest to buy a movie ticket with his last two cents."
68,French Twist (Gazon maudit) ,"Comedy,Romance",1995,French Twist (Gazon maudit) is a hilarious and provocative French comedy about a love triangle that challenges traditional gender roles.
69,Friday ,Comedy,1995,"""Friday (1995) is a hilarious and iconic comedy that follows two friends as they navigate a day filled with neighborhood shenanigans and unexpected encounters."""
70,From Dusk Till Dawn ,"Action,Comedy,Crime,Horror,Thriller",1996,"""From Dusk Till Dawn is a wild and genre-bending ride, blending crime thriller with horror elements, as two brothers encounter bloodthirsty vampires in a Mexican strip club."""
71,Fair Game ,Action,1995,"""Fair Game (1995) is a thrilling action film starring Cindy Crawford and William Baldwin, filled with high-stakes espionage and intense cat-and-mouse chase sequences."""
72,Kicking and Screaming ,"Comedy,Drama",1995,"""Kicking and Screaming is a witty and relatable coming-of-age comedy that follows a group of college graduates struggling with post-graduation anxieties."""
73,"Misérables, Les ","Drama,Musical",1995,"Les Misérables (1995) is a powerful and emotionally charged adaptation of Victor Hugo's classic novel, showcasing themes of love, redemption, and social injustice."
74,Bed of Roses ,"Drama,Romance",1996,"""Bed of Roses is a heartwarming romantic drama that explores the power of love and healing, with a touch of melancholy."""
75,Big Bully ,"Comedy,Drama",1996,"""Big Bully is a forgettable comedy that fails to deliver laughs or a compelling story, despite the talented cast."""
76,Screamers ,"Sci-Fi,Thriller",1995,"""Screamers (1995) is a thrilling sci-fi horror film set on a desolate planet where deadly robotic creatures known as 'screamers' hunt down humans."""
77,Nico Icon ,Documentary,1995,"""Nico Icon (1995) is a captivating documentary that explores the enigmatic life and influential career of the iconic German singer and actress, Nico."""
78,"Crossing Guard, The ",Drama,1995,"""The Crossing Guard (1995) is a gripping drama directed by Sean Penn, exploring the emotional aftermath of a man seeking revenge for his daughter's death."""
