user,history_item_id,history_rating,item_id,rating
1,"[661, 2918, 531, 3114, 2791, 1029, 2321, 1197, 594, 2398, 1545, 527, 1, 588, 2687, 745, 595, 2294, 783, 2355]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1907,1
10,"[1240, 1023, 1035, 1233, 3347, 527, 1292, 1022, 2087, 2717, 2498, 1831, 3593, 275, 3034, 3447, 595, 923, 1704, 1283]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1221,1
100,"[292, 2405, 2409, 1371, 2535, 1373, 208, 3441, 1544, 2367, 3257, 15, 1562, 1499, 593, 527, 318, 924, 608, 1213]","[1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1]",919,1
1000,"[3114, 2018, 595, 3751, 2080, 2137, 2687, 2700, 2987, 2087, 2081, 588, 596, 1029, 2085, 594, 318, 527, 2132, 1299]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2804,1
1001,"[1588, 1422, 1593, 1669, 1722, 2437, 1683, 1483, 1475, 1545, 140, 1282, 3514, 3861, 3824, 3854, 2609, 2769, 3902, 3743]","[1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0]",3317,1
1002,"[1120, 3148, 3386, 590, 1476, 1693, 1727, 292, 3173, 3188, 3916, 1225, 1231, 2064, 1307, 3424, 1238, 3072, 1079, 3422]","[1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1189,1
1003,"[2858, 1221, 1193, 318, 1952, 923, 541, 1213, 1136, 3421, 1230]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1198,1
1004,"[2149, 1018, 435, 2717, 2335, 520, 1703, 1702, 64, 135, 1167, 762, 1863, 2379, 267, 743, 829, 355, 1707, 3248]","[1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0]",2953,0
1005,"[3763, 1197, 1912, 1210, 1374, 474, 246, 2859, 3680, 3679, 2064, 1289, 3897, 1965, 1391, 45, 708, 3916, 1250, 2312]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1]",2348,1
1006,"[260, 180, 3052, 1917, 1206, 1608, 736, 2600, 2320, 1590, 662, 1515, 2722, 2840, 1644, 2997, 1923, 1060, 3174, 344]","[1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1]",1517,1
1007,"[1270, 2150, 3608, 3552, 1965, 2371, 2518, 2011, 3740, 2054, 2369, 2378, 2792, 1091]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2717,1
1008,"[1294, 2300, 2863, 3361, 1136, 1394, 1080, 1307, 2918, 909, 3424, 3868, 1079, 3363, 2791, 1, 3037, 3671, 260, 1214]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3421,1
1009,"[3536, 3566, 3189, 3534, 3858, 2504, 1609, 2262, 2124, 410, 969, 2846, 1608, 1214, 1200, 3083, 2858, 1225, 3363, 2329]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]",1916,1
101,"[1438, 3697, 145, 466, 2763, 849, 2826, 2524, 3208, 1385, 546, 3268, 2735, 376, 1320, 292, 2616, 1544, 360, 2642]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2412,1
1010,"[2640, 2527, 3384, 3836, 3702, 89, 2347, 3623, 1636, 2409, 2367, 1371, 3452, 3638, 2802, 3764, 2405, 511, 3430, 1752]","[1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0]",2611,1
1011,"[11, 1274, 66, 2450, 2872, 2968, 1073, 2797, 1097, 3153, 3479, 2174, 260, 2100, 1019, 2193, 2140, 60, 2005]","[1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",2161,1
1012,"[2469, 1381, 2942, 2950, 3244, 3099, 1244, 1230, 1380, 1225, 1090, 1242, 1224, 1299, 1196, 1957, 1293, 1097, 1246, 1956]","[0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1]",1185,1
1013,"[1663, 3255, 915, 1968, 39, 2797, 3599, 3548, 1641, 3088, 2081, 3608, 2795, 1580, 952, 3157, 3132, 2463, 911, 3061]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]",1125,1
1014,"[1196, 2871, 2987, 1806, 3175, 3070, 2406, 3755, 858, 2947, 1200, 2028, 3267, 1954, 527, 1193, 919, 2565, 1, 2080]","[1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0]",3037,1
1015,"[1054, 3101, 2469, 2247, 43, 1305, 2245, 2870, 1498, 2885, 2145, 2939, 156, 3299, 2769, 3950, 3952, 2097, 3660, 3918]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0]",1995,0
1016,"[468, 753, 2155, 7, 2605, 253, 252, 3082, 1711, 2829, 2250, 3, 1526, 2616, 1027, 1544, 2126, 12, 160, 2906]","[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0]",3083,1
1017,"[2878, 1989, 1323, 3573, 1990, 3938, 3026, 3665, 3027, 2368, 1324, 1325, 1389, 3843, 2515, 12, 2974, 1981, 1433, 3574]","[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",1322,0
1018,"[1307, 1258, 2915, 1962, 2918, 3361, 2791, 2000, 1968, 3347, 1246, 1302, 2313, 1266, 590, 3682, 3671, 553, 2012, 1379]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",368,1
1019,"[1126, 438, 2574, 2953, 65, 2798, 306, 308, 3181, 515, 71, 1049, 288, 3020, 1608, 208, 736, 1552, 1375, 156]","[0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1]",1091,0
102,"[943, 1269, 953, 2206, 1193, 1251, 296, 3713, 926, 922, 3099, 2212, 2011, 203, 2012, 2040, 2877, 3175, 1912, 1270]","[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1]",377,1
1020,"[2427, 1429, 1769, 1608, 2334, 1370, 3082, 3107, 349, 2273, 1597, 198, 10, 1627, 2628, 809, 1488, 2699, 2763, 165]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]",547,1
1021,"[189, 1267, 1252, 923, 2168, 922, 750, 969, 1617, 527, 541, 593, 899, 3629, 2396, 50, 2028, 1248, 1198, 260]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1950,1
1022,"[1844, 2268, 3512, 1611, 3160, 3556, 3296, 1061, 1596, 2639, 3578, 55, 3528, 1682, 345, 1747, 3255, 337, 2570, 1810]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",685,1
1023,"[1367, 924, 940, 969, 1214, 1225, 3363, 900, 2539, 3801, 85, 1230, 3421, 2294, 1208, 82, 150, 909, 1694, 1784]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",952,1
1024,"[2130, 2108, 265, 1094, 898, 3684, 1307, 1188, 914, 920, 2291, 2243, 900, 1197, 1183, 1683, 1946, 3685, 3244, 1674]","[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1]",1643,1
1025,"[2541, 2772, 1911, 2605, 2959, 2716, 3578, 3717, 785, 3160, 2581, 2901, 2700, 2702, 2840]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0]",3114,1
1026,"[2066, 1267, 3783, 3746, 3897, 3749, 3408, 3855, 3328, 3916, 3289, 3883, 3556, 3720, 3853, 3902, 3317, 3822, 3185, 3578]","[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3598,1
1027,"[3916, 3948, 318, 1221, 1213, 527, 593, 912, 1300, 1233, 1207, 111, 296, 2028, 36, 1208, 1228, 1193, 1242, 1225]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",25,1
1028,"[1228, 593, 296, 2920, 1084, 1185, 1193, 3307, 3363, 2289, 1090, 1949, 1203, 1217, 83, 36, 3176, 3044, 3476, 2686]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3386,1
1029,"[3399, 2134, 2792, 1378, 2652, 3340, 3627, 2653, 3490, 2645, 2780, 2554, 1219, 3499, 2648, 1348, 152, 1994, 1333, 1258]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1278,1
103,"[2002, 153, 208, 1037, 1833, 1590, 2549, 836, 1591, 379, 393, 160, 849, 1831, 2808, 3841, 1499, 2253, 15, 172]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",546,1
1030,"[2986, 3257, 172, 1438, 1591, 1882, 420, 160, 1373, 1562, 3705, 2404, 839, 1556, 3268, 2153, 1278, 3114, 3421, 2858]","[1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1]",1394,1
1031,"[541, 750, 1584, 1019, 924, 32, 1200, 1206, 1077, 2664, 1301, 1396, 3175, 1253, 1676, 2287, 1653, 3927, 2140, 2407]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",780,1
1032,"[3157, 60, 1695, 266, 48, 312, 294, 520, 2, 2297, 1665, 1595, 818, 1748, 1252, 913, 2987, 3629, 3022, 2863]","[1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",1204,1
1033,"[151, 1408, 161, 2427, 2662, 1298, 3519, 2287, 2476, 1616, 1205, 1391, 2322, 1676, 3441, 1488, 780, 3053, 1586, 466]","[0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1]",2402,1
1034,"[3825, 2059, 1022, 1907, 2081, 3159, 2687, 317, 2078, 2087, 1010, 616, 2090, 586, 2123, 2709, 2048, 1033, 2720, 1225]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",1228,0
1035,"[3448, 3578, 2114, 2872, 3753, 3178, 253, 1061, 524, 1003, 358, 1916, 481, 22, 382, 2409, 1488, 2474, 1876, 81]","[1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0]",1833,1
1036,"[930, 1193, 1136, 296, 2997, 1213, 1294, 1244, 953, 1080, 3543, 1394, 920, 1208, 969, 1079, 3735, 3068, 1203, 3671]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1
1037,"[3408, 3189, 3317, 3831, 3852, 3510, 3755, 3744, 3536, 3861, 3618, 3753, 3794, 3623, 3301, 3752, 3513, 3821, 3646, 3354]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1]",3864,0
1038,"[2467, 60, 58, 2871, 356, 1103, 986, 2739, 2321, 3198, 1061, 1393, 3163, 2565, 2611, 1177, 1287, 1994, 3350, 249]","[0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1]",906,1
1039,"[1911, 1093, 2881, 2712, 3408, 3238, 2688, 2716, 2856, 2719]","[1, 1, 1, 0, 1, 0, 1, 1, 0, 0]",2995,0
104,"[2683, 2706, 2826, 2355, 2710, 2770, 223, 2722, 3016, 1911, 2369, 2688, 3175, 2861, 2959, 785, 3053, 3219, 2840, 2841]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2724,0
1040,"[3468, 1219, 1084, 1947, 914, 2993, 2529, 908, 903, 904, 1237, 1103, 3871, 3035, 1283, 912, 923, 953, 913, 919]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",920,1
1041,"[457, 1957, 213, 3634, 2068, 930, 928, 2070, 3019, 1244, 3077, 1446, 3823, 2858, 2683, 2997, 3516, 2770, 223, 2369]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2759,1
1042,"[2015, 3479, 1750, 2453, 2628, 2193, 2093, 2968, 2105, 2021, 2, 1920, 126, 2143, 2872, 653, 2162, 2253, 673, 3440]","[1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0]",3489,1
1043,"[2291, 1466, 2657, 3579, 2792, 3911, 1213, 1084, 608, 50, 296, 3362, 2130, 1179, 1227, 6, 2391, 2985]","[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",3104,1
1044,"[3525, 3018, 1275, 3868, 2406, 3479, 2746, 3550, 2301, 2736, 2115, 2371, 2139, 610, 1274, 1, 1148, 588, 3213, 595]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0]",364,0
1045,"[2891, 1537, 1883, 3156, 2321, 2325, 357, 2718, 1641, 3255, 500, 2572, 39, 597, 2496, 7, 34, 2671, 837]","[1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",3157,1
1046,"[367, 317, 1848, 916, 915, 910, 933, 3548]","[1, 1, 1, 1, 1, 1, 1, 1]",901,1
1047,"[2011, 3697, 2012, 788, 1371, 1676, 1690, 1373, 338, 1917, 2808, 2450, 172, 2722, 2028, 919, 1259, 150, 3271, 1222]","[1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1704,1
1048,"[162, 2997, 2289, 265, 1912, 3006, 1392, 1594, 36, 2028, 246, 3260, 1041, 994, 25, 223, 2762, 2908, 1834, 2291]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1265,1
1049,"[1921, 1527, 198, 748, 1391, 1876, 788, 1909, 1676, 213, 527, 2858, 866, 503, 2333, 2028, 1213, 994]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1719,1
105,"[457, 6, 2949, 3104, 3793, 1408, 3029, 1374, 3418, 555, 3384, 2951, 2600, 3256, 2872, 2006, 3527, 3555, 3153, 3639]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",163,1
1050,"[3300, 3785, 3482, 3535, 3623, 3301, 3755, 3646, 3863, 3827, 3409, 3744, 3752, 3565, 3354, 3821, 3616, 3826, 3825, 154]","[1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1]",3359,1
1051,"[3082, 2860, 3556, 1947, 2148, 103, 3913, 1620, 736, 180, 3744, 3186, 2500, 330, 1858, 2432, 705, 3598, 2485, 2968]","[0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0]",3571,0
1052,"[1104, 3467, 1230, 2935, 969, 945, 928, 914, 930, 1247, 1094, 899, 446, 1188, 916, 2020, 1296, 17, 1947, 915]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2243,1
1053,"[2013, 3107, 349, 3029, 3740, 145, 3444, 1372, 1049, 3624, 163, 2115, 2006, 2989, 112, 3623, 2990, 3889, 2403, 3519]","[1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]",2528,1
1054,"[747, 2042, 2053, 1005, 2953, 374, 801, 1474, 1453, 575, 38, 1707, 2152, 54, 810, 102, 243, 3793, 3745, 3624]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1]",3751,1
1055,"[1827, 945, 1238, 1259, 905, 2804, 3097, 1226, 1294, 898, 1172, 1265, 2973, 2791, 1292, 1, 1188, 2300, 1230, 951]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]",101,1
1056,"[2338, 1970, 1972, 2328, 742, 1992, 606, 2315, 1978, 1977, 1756, 1981, 1979, 2514, 934, 3114, 1, 2000, 1923, 588]","[0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1]",2706,0
1057,"[2033, 2138, 2355, 3159, 2687, 1025, 2394, 3483, 3725, 2048, 2139, 783, 1033, 610, 3615, 13, 3481, 3911, 3536, 3301]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1]",3618,0
