movie_id,name,cleaned_genre,year,summary,embeddings_1024
1,Toy Story ,"Animation,Children's,Comedy",1995,"Toy Story is a groundbreaking animated film that brings toys to life, delivering heartwarming humor and adventure as Woody and Buzz navigate the world of childhood imagination.","[-0.04189223  0.05833309 -0.02476214 ... -0.02134957  0.03375586
 -0.02773763]"
2,Jumanji ,"Adventure,Children's,Fantasy",1995,"""Jumanji (1995) is a thrilling adventure film where a magical board game unleashes chaos and danger into the real world.""","[ 0.01302368  0.03859716 -0.01630003 ... -0.01366098  0.01254163
 -0.00360112]"
3,Grumpier Old Men ,"Comedy,Romance",1995,"""Grumpier Old Men is a hilarious and heartwarming comedy that reunites Jack Lemmon and Walter Matthau for more misadventures in their small town.""","[ 0.02791052  0.01487485 -0.02803959 ... -0.01575412  0.00327707
  0.0131728 ]"
4,Waiting to Exhale ,"Comedy,Drama",1995,"""Waiting to Exhale"" (1995) is a heartfelt drama following the lives of four African-American women as they navigate love, friendship, and self-discovery.","[-0.05895531  0.05494044 -0.01637648 ... -0.00439222  0.04691068
  0.03278314]"
5,Father of the Bride Part II ,Comedy,1995,Father of the Bride Part II (1995) is a heartwarming comedy that follows George Banks as he navigates the chaos of planning his daughter's wedding while also becoming a grandfather.,"[-0.00589523  0.0246773  -0.02444115 ...  0.00134308  0.00931935
  0.04544131]"
6,Heat ,"Action,Crime,Thriller",1995,"Heat (1995) is a gripping crime thriller directed by Michael Mann, featuring an intense cat-and-mouse game between a master thief and a determined detective.","[ 0.01068739 -0.03021674 -0.0172988  ...  0.00788315  0.04011782
 -0.00691631]"
7,Sabrina ,"Comedy,Romance",1995,"Sabrina (1995) is a charming romantic comedy about a chauffeur's daughter who falls in love with two wealthy brothers, leading to a delightful tale of love and self-discovery.","[-0.02349375  0.02896327 -0.0262211  ... -0.03640419  0.01594907
  0.0611875 ]"
8,Tom and Huck ,"Adventure,Children's",1995,"""Tom and Huck is a charming adventure film based on Mark Twain's classic characters, filled with friendship, mischief, and thrilling escapades.""","[-0.02828921  0.04932649 -0.01414461 ... -0.04120567 -0.00036474
 -0.03732906]"
9,Sudden Death ,Action,1995,"""Sudden Death"" is a thrilling action film from 1995, starring Jean-Claude Van Damme as a firefighter who must save his daughter from terrorists during a hockey game.","[-2.20512170e-02 -2.82834550e-02 -2.66317420e-02 ... -1.53817087e-05
 -1.20983704e-02  2.86069847e-02]"
10,GoldenEye ,"Action,Adventure,Thriller",1995,GoldenEye (1995) is a thrilling James Bond film that revitalizes the franchise with Pierce Brosnan's charismatic performance and explosive action sequences.,"[-0.00111899  0.02185762 -0.02243156 ... -0.04499067  0.00461943
 -0.00578326]"
11,"American President, The ","Comedy,Drama,Romance",1995,"""The American President is a charming romantic comedy-drama that follows the love story between a widowed president and an environmental lobbyist.""","[-0.04413389  0.06156236 -0.01601412 ... -0.03832439  0.01925345
  0.00308534]"
12,Dracula: Dead and Loving It ,"Comedy,Horror",1995,"A comedic take on the classic vampire tale, ""Dracula: Dead and Loving It"" is a hilarious spoof that will leave you laughing.","[ 0.01078194  0.03015222 -0.02343967 ... -0.02153287 -0.00907667
  0.01323132]"
