user_id,user_profile
1,female k-12 student under 18 years of age
2,male self-employed above 56 years of age
3,male scientist between 25 to 34 years of age
4,male executive/managerial between 45 to 49 years of age
5,male writer between 25 to 34 years of age
6,female homemaker between 50 to 55 years of age
7,male academic/educator between 35 to 44 years of age
8,male programmer between 25 to 34 years of age
9,male technician/engineer between 25 to 34 years of age
10,female academic/educator between 35 to 44 years of age
11,female academic/educator between 25 to 34 years of age
12,male programmer between 25 to 34 years of age
13,male academic/educator between 45 to 49 years of age
14,male unknown between 35 to 44 years of age
15,male executive/managerial between 25 to 34 years of age
16,female unknown between 35 to 44 years of age
17,male academic/educator between 50 to 55 years of age
18,female clerical/admin between 18 to 24 years of age
19,male k-12 student under 18 years of age
20,male sales/marketing between 25 to 34 years of age
21,male self-employed between 18 to 24 years of age
22,male scientist between 18 to 24 years of age
23,male unknown between 35 to 44 years of age
24,female executive/managerial between 25 to 34 years of age
25,male college/grad student between 18 to 24 years of age
26,male executive/managerial between 25 to 34 years of age
27,male lawyer between 25 to 34 years of age
28,female academic/educator between 25 to 34 years of age
29,male executive/managerial between 35 to 44 years of age
30,female executive/managerial between 35 to 44 years of age
31,male executive/managerial above 56 years of age
32,female unknown between 25 to 34 years of age
33,male clerical/admin between 45 to 49 years of age
34,female unknown between 18 to 24 years of age
35,male academic/educator between 45 to 49 years of age
36,male clerical/admin between 25 to 34 years of age
37,female homemaker between 25 to 34 years of age
38,female college/grad student between 18 to 24 years of age
39,male college/grad student between 18 to 24 years of age
40,male unknown between 45 to 49 years of age
41,female college/grad student between 18 to 24 years of age
42,male farmer between 25 to 34 years of age
43,male programmer between 25 to 34 years of age
44,male technician/engineer between 45 to 49 years of age
45,female self-employed between 45 to 49 years of age
46,male unemployed between 18 to 24 years of age
47,male college/grad student between 18 to 24 years of age
48,male college/grad student between 25 to 34 years of age
49,male programmer between 18 to 24 years of age
50,female artist between 25 to 34 years of age
51,female k-12 student under 18 years of age
52,male college/grad student between 18 to 24 years of age
53,male unknown between 25 to 34 years of age
54,male academic/educator between 50 to 55 years of age
55,female programmer between 35 to 44 years of age
56,male writer between 35 to 44 years of age
57,male unemployed between 18 to 24 years of age
58,male artist between 25 to 34 years of age
59,female academic/educator between 50 to 55 years of age
60,male academic/educator between 50 to 55 years of age
61,male technician/engineer between 25 to 34 years of age
62,female clerical/admin between 35 to 44 years of age
63,male college/grad student between 18 to 24 years of age
64,male academic/educator between 18 to 24 years of age
65,male programmer between 35 to 44 years of age
66,male tradesman/craftsman between 25 to 34 years of age
67,female customer service between 50 to 55 years of age
68,male college/grad student between 18 to 24 years of age
69,female academic/educator between 25 to 34 years of age
70,male college/grad student between 18 to 24 years of age
71,male sales/marketing between 25 to 34 years of age
72,female unknown between 45 to 49 years of age
73,male college/grad student between 18 to 24 years of age
74,male sales/marketing between 35 to 44 years of age
75,female k-12 student under 18 years of age
76,male executive/managerial between 35 to 44 years of age
77,male college/grad student between 18 to 24 years of age
78,female academic/educator between 45 to 49 years of age
79,female unknown between 45 to 49 years of age
80,male academic/educator above 56 years of age
81,female unknown between 25 to 34 years of age
82,male technician/engineer between 25 to 34 years of age
83,female artist between 25 to 34 years of age
84,male college/grad student between 18 to 24 years of age
85,male college/grad student between 18 to 24 years of age
86,female k-12 student under 18 years of age
87,male sales/marketing between 25 to 34 years of age
88,female academic/educator between 45 to 49 years of age
89,female homemaker above 56 years of age
90,male retired above 56 years of age
91,male executive/managerial between 35 to 44 years of age
92,female college/grad student between 18 to 24 years of age
93,male technician/engineer between 25 to 34 years of age
94,male technician/engineer between 25 to 34 years of age
95,male unknown between 45 to 49 years of age
96,female self-employed between 25 to 34 years of age
